Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
12,Los Angeles Kings,46-30-6,2-Oct,4-Jan,25-13-3,21-17-3,10/6/02,36-24-4,3/2/02,2/4/00,5-0-0,9/11/00,15-3-2,12/10/02,22-9-6,12/9/00,8/3/00,5/7/00,9/4/01,5/8/00,8/2/03,9/3/02,2/3/00
13,Chicago Blackhawks,44-29-9,5-Jun,4-Apr,24-17-0,20-12-9,9/6/03,35-23-6,2/3/00,4/1/01,3/2/02,15-7-2,10/9/01,10/7/03,16-13-9,17-7-0,7/5/01,7/6/01,6/5/01,6/4/01,8/3/02,7/4/02,3/2/01
14,Montreal Canadiens,44-30-8,3-Mar,5-May,24-11-6,20-19-2,36-22-6,8/8/02,11/8/01,14-7-3,11/7/02,1/4/00,4/3/01,3/1/01,19-5-8,13-17-0,7/3/01,8/5/00,6/8/01,6/2/03,6/5/02,8/7/00,3-0-1
15,Buffalo Sabres,43-29-10,1-May,9-Oct,21-16-4,22-13-6,33-24-7,10/5/03,8/9/03,15-8-1,10/7/03,2/3/02,3/1/01,5/1/00,21-13-10,10/10/00,3/7/02,6/6/01,6/5/01,8/3/01,6/4/02,10/4/02,4-0-1
16,Dallas Stars,42-29-11,7-May,4-May,22-11-8,20-18-3,11/5/02,31-24-9,3/2/02,3/2/00,5/1/00,14-5-1,8/9/03,9/10/05,23-6-11,13-15-0,6/4/00,8/4/01,8/5/03,8/2/01,3/8/01,5/4/05,4/2/00
17,Calgary Flames,41-29-12,7-Sep,5-Feb,23-13-5,18-16-7,9/6/03,32-23-9,1/3/01,6/1/01,2/2/01,13-5-2,13-10-1,6/8/06,19-9-12,14-10-0,6/5/00,4/7/02,7/6/01,7/3/03,8/2/03,6/6/02,3-0-1
18,New York Rangers,44-33-5,3-Sep,2-Mar,20-17-4,24-16-1,33-26-5,11/7/00,14-9-1,11/7/02,8/10/02,3/3/00,4/3/00,4/1/00,21-13-5,16-8-0,5/4/01,9/7/00,8/3/01,7/6/01,4/7/01,8/5/01,3/1/00
19,Carolina Hurricanes,40-31-11,5-May,6-Jun,22-14-5,18-17-6,30-25-9,10/6/02,9/7/04,9/10/01,12/8/04,2/3/01,5/1/00,3/2/01,22-15-11,12/14/00,5/5/00,5/6/03,7/4/01,8/4/02,4/6/03,8/5/01,3/1/01
20,St. Louis Blues,38-33-11,6-Apr,5-Mar,23-13-5,15-20-6,11/4/03,27-29-8,4/2/00,4-0-1,3/2/02,12/8/04,7/10/03,8/11/01,14-13-11,13-11-0,6/1/02,6/7/01,8/4/02,2/8/02,6/5/02,7/7/01,3/1/01
21,Minnesota Wild,39-35-8,5-Mar,3-May,19-17-5,20-18-3,6/10/02,33-25-6,3/3/00,1/3/01,2/4/01,7/10/03,16-7-1,10/8/02,16-6-8,11/20/00,4/4/02,7/6/00,6/5/03,8/4/00,8/5/01,4/8/02,2/3/00
22,Toronto Maple Leafs,37-34-11,6-May,5-Feb,18-15-8,19-19-3,28-26-10,9/8/01,8/8/04,13-9-2,7/9/04,2/3/00,3/4/01,4/1/00,20-6-11,10/18/00,5/4/01,3/7/03,5/8/00,6/6/01,8/2/04,9/5/01,1/2/01
23,New Jersey Devils,38-39-5,2-Mar,3-Jul,22-16-3,16-23-2,30-30-4,8/9/01,11/12/01,7/12/01,12/6/02,2/4/00,2/3/00,4/2/01,21-8-5,10/17/00,3/8/01,5/6/01,2/11/00,6/5/01,11/1/01,8/5/01,3/3/00
24,Columbus Blue Jackets,34-35-13,8-May,5-May,17-19-5,17-16-8,11/4/03,23-31-10,4/2/00,3/2/01,4-0-2,8/11/05,7/9/04,8/11/01,19-10-13,8/19/00,6/4/00,8/4/00,6/7/03,3/6/02,8/3/01,3/7/06,0-4-1
25,Atlanta Thrashers,34-36-12,7-May,5-Oct,17-17-7,17-19-5,28-26-10,6/10/02,10/8/02,9/11/00,9/7/08,2/3/02,2/4/00,2/3/00,22-6-12,8/16/00,5/4/02,8/5/01,7/6/03,4/4/03,2/7/02,7/6/01,1/4/00
26,Ottawa Senators,32-40-10,5-Feb,5-Feb,16-20-5,16-20-5,27-31-6,5/9/04,10/9/01,7/15/02,10/7/03,1/2/02,2/5/01,2/2/01,13-10-10,8/20/00,4/6/01,7/7/00,5/5/04,1/7/03,4/7/01,9/6/01,2/2/00
27,New York Islanders,30-39-13,6-Apr,7-Jul,17-18-6,13-21-7,22-34-8,8/5/05,6/13/05,10/10/00,6/11/03,2/2/01,4/1/01,2/2/03,12/15/13,13-15-0,4/5/02,1/7/03,6/7/01,4/8/01,8/5/01,7/4/04,0-3-1
28,Florida Panthers,30-40-12,7-Apr,5-Jun,16-17-8,14-23-4,23-31-10,7/9/02,7/11/02,5/11/04,11/9/04,2/4/02,3/2/00,2/3/00,19-18-12,10/13/00,4/5/00,6/7/00,6/5/02,6/5/03,4/7/02,3/8/05,1/3/00
29,Colorado Avalanche,30-44-8,1-Jun,7-Jun,16-21-4,14-23-4,8/5/05,22-39-3,3/2/02,3/2/00,2/1/03,11/8/01,7/16/01,4/15/01,20-13-8,7/16/00,6/4/01,7/5/01,7/4/03,5/6/01,1/11/01,2/10/01,2/4/00
30,Edmonton Oilers,25-45-12,9-Feb,3-Feb,13-22-6,12/23/06,8/9/01,17-36-11,1/3/01,4/4/00,3/2/00,7/10/03,6/13/05,4/13/03,9/10/12,12/19/00,3/4/02,4/8/02,5/5/03,3/9/01,5/9/00,3/8/03,2/2/01
