Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Vancouver Canucks,54-19-9,5-Apr,4-Apr,27-9-5,27-10-4,11/5/02,43-14-7,3/2/00,4/3/01,4-0-1,12/5/03,18-4-2,13-5-2,19-7-9,20-6-0,4/3/02,8/4/01,11/1/02,8/2/04,8/5/00,13-2-0,2/2/00
2,Washington Capitals,48-23-11,6-May,5-Sep,25-8-8,23-15-3,40-14-10,8/9/01,13-3-4,13-4-3,14-7-3,5/1/00,2/3/00,1/5/01,26-9-11,14-8-0,7/4/00,10/2/02,5/6/03,5/3/04,6/5/01,12/2/01,3/1/00
3,Pittsburgh Penguins,49-25-8,3-Oct,5-May,25-14-2,24-11-6,38-21-5,11/4/03,12/9/03,12/6/02,14-6-0,4/1/02,4/1/00,3/2/01,24-8-8,18-11-0,6/5/01,10/3/01,9/3/01,6/4/01,6/6/02,8/4/02,4-0-0
4,Philadelphia Flyers,47-23-12,7-Mar,5-Mar,22-12-7,25-11-5,38-18-8,9/5/04,17-4-3,11/8/01,10/6/04,3/1/01,3/1/01,3/3/02,20-9-12,20-10-0,6/4/01,9/2/03,8/4/01,10/2/00,7/4/01,6/5/04,1/2/02
5,San Jose Sharks,48-25-9,5-May,4-May,25-11-5,23-14-4,9/8/01,39-17-8,4/1/01,2/4/00,3/3/00,13-6-1,12/6/02,14-5-5,21-9-9,16-10-0,5/3/01,6/5/03,9/5/01,5/6/01,11/2/00,9/2/03,3/2/00
6,Detroit Red Wings,47-25-10,4-Apr,6-Sep,21-14-6,26-11-4,12/4/02,35-21-8,3/2/02,6-0-0,3/2/00,12/10/02,15-3-2,8/8/04,21-7-10,12/13/00,6/2/01,10/2/01,8/5/03,6/4/01,9/5/00,5/5/04,3/2/00
7,Boston Bruins,46-25-11,6-Feb,5-Jan,22-13-6,24-12-5,38-18-8,8/7/03,12/6/02,11/8/05,15-4-1,2/2/02,4/1/00,2/4/01,16-7-11,20-7-0,6/2/00,6/6/02,8/3/03,8/4/02,8/4/00,7/4/04,3/2/00
8,Tampa Bay Lightning,46-25-11,6-Jun,5-Aug,25-11-5,21-14-6,36-19-9,10/6/02,11/6/03,11/7/02,14-6-4,4/2/00,3/2/01,3/2/01,23-7-11,12/14/00,7/2/01,7/6/02,8/3/02,9/4/00,6/3/02,5/6/04,4/1/00
9,Anaheim Ducks,47-30-5,2-Apr,3-Sep,26-13-2,21-17-3,11/6/01,36-24-4,5/2/00,3/2/00,3/2/01,8/11/01,14-3-3,14-10-0,29-10-5,11/16/00,4/7/01,8/4/02,8/6/01,8/3/00,5/5/01,11/3/00,3/2/00
10,Nashville Predators,44-27-11,4-Jun,7-Feb,24-9-8,20-18-3,10/4/04,34-23-7,2/1/02,3/2/00,5/1/02,13-9-2,11/6/03,10/8/02,18-10-11,19-10-0,5/2/03,5/6/02,8/5/01,9/4/00,5/6/02,10/3/02,2/1/01
11,Phoenix Coyotes,43-26-13,6-May,7-Feb,21-13-7,22-13-6,6/6/06,37-20-7,2/2/02,2/2/02,2/2/02,12/5/03,14-3-3,11/12/01,21-8-13,12/12/00,3/4/03,8/3/02,6/6/02,8/4/02,8/4/01,9/4/01,1/1/02
