Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Bruins,54-19-9,6-Mar,3-Apr,31-7-3,23-12-6,36-15-3,18-4-6,18-9-3,18-6-0,7/1/06,11/3/00,16-8-9,26-4-0,8/4/00,10/3/02,8/5/00,8/4/01,3-0-2,15-1-1,2/2/03
2,Anaheim Ducks,54-20-8,6-Mar,2-Jul,29-8-4,25-12-4,19-8-5,35-12-3,9/5/02,10/3/03,13-8-0,22-4-3,27-4-8,20-6-0,10/3/01,8/4/03,11/1/01,11/3/00,2/3/00,7/4/03,5/2/00
3,Colorado Avalanche,52-22-8,4-May,4-Oct,26-11-4,26-11-4,21-9-2,31-13-6,10/6/00,11/3/02,19-6-3,12/7/03,28-4-8,11/10/00,10/1/00,9/5/00,5/5/04,10/3/01,4/3/00,9/4/01,5/1/02
4,St. Louis Blues,52-23-7,3-Sep,4-Mar,28-9-4,24-14-3,23-7-2,29-16-5,12/2/02,11/5/00,21-6-2,8/10/03,24-5-7,21-12-0,7/1/02,11/3/01,9/3/02,9/5/00,3/2/01,11/3/01,2/6/00
5,San Jose Sharks,51-22-9,7-Oct,2-Apr,29-7-5,22-15-4,21-7-4,30-15-5,11/4/01,10/3/03,12/8/02,18-7-3,26-9-9,17-9-0,10/1/02,8/2/03,7/6/01,9/6/00,4/2/00,9/3/03,4/2/00
6,Pittsburgh Penguins,51-24-7,3-Jul,4-Apr,28-9-4,23-15-3,34-14-6,17-10-1,14-6-4,20-8-2,8/6/00,9/4/01,23-11-7,19-11-0,9/4/00,9/5/01,11/3/00,9/2/01,2/1/02,8/7/01,3/2/02
7,Chicago Blackhawks,46-21-15,8-Jun,7-Jan,27-7-7,19-14-8,19-7-6,27-14-9,9/3/04,10/4/02,13-13-3,14-1-6,17-8-15,18-6-0,8/2/03,12/2/01,8/3/03,5/3/06,2/2/01,7/7/01,4/2/00
8,Tampa Bay Lightning,46-27-9,6-Aug,3-Jun,25-10-6,21-17-3,32-16-6,14-11-3,19-8-3,13-8-3,8/5/01,6/6/02,20-11-9,11/11/00,8/4/00,8/5/01,7/3/03,8/6/01,2/3/00,8/4/04,5/2/00
9,Los Angeles Kings,46-28-8,6-Aug,2-Apr,23-14-4,23-14-4,21-8-3,25-20-5,10/4/02,11/4/01,9/10/02,16-10-3,21-14-8,14-6-0,9/5/00,7/2/04,9/5/00,5/8/02,3/2/00,11/4/00,2/2/02
10,Montreal Canadiens,46-28-8,3-Jun,5-Jul,23-13-5,23-15-3,32-16-6,14-12-2,18-8-4,14-8-2,7/5/02,7/7/00,22-11-8,13-12-0,8/5/00,7/4/03,8/5/01,6/6/01,4/1/02,10/5/00,3/2/01
11,Minnesota Wild,43-27-12,8-Aug,4-Mar,26-10-5,17-17-7,17-11-4,26-16-8,9/6/01,8/5/03,14-12-3,12/4/05,24-7-12,10/14/00,6/4/03,9/4/02,5/9/00,9/4/01,4-0-1,6/5/04,4/1/01
12,New York Rangers,45-31-6,3-Apr,3-Feb,20-17-4,25-14-2,31-18-5,14-13-1,15-7-2,16-11-3,8/5/01,6/8/00,17-14-6,16-10-0,5/7/00,9/6/00,6/6/02,10/4/01,3/1/00,9/6/01,3/1/02
13,Philadelphia Flyers,42-30-10,8-Mar,2-Apr,24-14-3,18-16-7,27-20-7,15-10-3,12/9/03,15-11-4,7/4/03,8/6/00,17-8-10,15-14-0,3/8/00,9/4/02,8/4/02,6/7/02,4/1/00,9/3/02,3/3/02
14,Columbus Blue Jackets,43-32-7,2-May,5-Mar,22-15-4,21-17-3,30-21-3,13-11-4,14-8-2,16-13-1,6/6/02,7/5/02,16-12-7,17-10-0,5/6/00,5/8/03,7/5/01,10/4/00,2/2/01,9/5/01,5/2/01
15,Detroit Red Wings,39-28-15,9-May,6-Apr,18-13-10,21-15-5,26-18-10,13-10-5,17-8-5,9/10/05,5/5/04,8/5/01,21-6-15,9/14/00,7/4/02,6/3/05,5/7/02,6/5/02,4/1/01,7/6/02,4/2/01
16,Dallas Stars,40-31-11,5-Apr,6-Feb,23-11-7,17-20-4,13-17-2,27-14-9,8/7/01,5/10/01,13-11-5,14-3-4,16-8-11,19-13-0,5/6/01,7/3/02,8/3/04,4/9/02,4-0-1,8/6/01,4/4/00
17,Washington Capitals,38-30-14,11-Oct,3-Apr,21-13-7,17-17-7,24-21-9,14-9-5,12/6/06,12/15/03,7/6/01,7/3/04,21-10-14,12/11/00,5/7/00,9/4/02,6/4/03,4/7/04,4/1/00,6/5/04,4/2/01
18,Phoenix Coyotes,37-30-15,7-Jun,8-Mar,22-14-5,15-16-10,17-10-5,20-20-10,8/5/03,9/5/02,6/11/04,14-9-6,20-7-15,8/9/00,9/3/02,6/4/02,5/3/05,5/9/01,2/3/01,9/5/01,1/3/03
19,Nashville Predators,38-32-12,9-Feb,3-Mar,19-17-5,19-15-7,15-12-5,23-20-7,9/3/04,6/9/01,12/13/04,11/7/03,18-5-12,9/16/00,6/5/02,7/6/01,5/7/01,7/5/04,1/1/02,7/8/01,5-0-1
20,Ottawa Senators,37-31-14,7-Jul,7-Mar,18-17-6,19-14-8,27-18-9,10/13/05,14-9-7,13-9-2,7/4/03,3/9/02,19-7-14,8/18/00,4/6/02,6/6/02,7/6/03,7/2/03,2/3/01,6/6/03,5/2/00
