Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
21,New Jersey Devils,35-29-18,0-13,5-Sep,21-11-9,14-18-9,27-17-10,8/12/08,11/8/05,16-9-5,5/6/03,3/6/05,22-10-18,12/11/00,3/5/04,8/6/01,6/5/03,6/5/04,2/1/01,7/6/02,3/1/03
22,Toronto Maple Leafs,38-36-8,4-Sep,4-May,24-16-1,14-20-7,23-25-6,15-11-2,14-13-3,9/12/03,5/7/02,10/4/00,19-8-8,11/11/00,10/4/00,4/6/03,6/6/02,9/5/01,3/1/01,4/10/01,2/4/00
23,Winnipeg Jets,37-35-10,6-Aug,4-May,18-17-6,19-18-4,16-14-2,21-21-8,9/7/00,7/7/02,9/15/05,12/6/03,21-15-10,8/9/00,5/7/02,7/5/02,7/6/01,7/7/00,3/1/01,4/7/04,4/2/00
24,Carolina Hurricanes,36-35-11,4-Feb,7-Apr,18-17-6,18-18-5,26-22-6,10/13/05,11/9/04,15-13-2,6/6/02,4/7/03,20-9-11,9/13/00,4/5/03,6/6/02,5/5/04,10/4/00,1/4/00,6/8/02,4/3/00
25,Vancouver Canucks,36-35-11,7-May,4-Jun,20-15-6,16-20-5,14-14-4,22-21-7,6/9/01,8/5/03,10/8/03,12/13/04,20-10-11,9/14/00,9/5/01,4/5/04,10/1/02,4/9/02,1/4/01,6/7/01,2/4/00
26,New York Islanders,34-37-11,6-Sep,5-Apr,13-19-9,21-18-2,23-23-8,11/14/03,13-7-4,10/16/04,7/6/01,4/8/02,19-13-11,5/17/00,4/5/03,4/10/01,5/6/03,8/7/01,2/2/00,6/5/02,5/2/01
27,Calgary Flames,35-40-7,3-Jul,4-Jul,19-19-3,16-21-4,16-12-4,19-28-3,7/8/01,9/4/03,8/13/00,11/15/03,25-17-7,7/11/00,5/5/02,4/8/02,5/7/02,6/7/01,2/3/00,9/7/00,4/3/00
28,Edmonton Oilers,29-44-9,3-Apr,6-May,16-22-3,13-22-6,14-14-4,15-30-5,7/7/02,7/7/02,7/13/01,8/17/04,14-10-9,9/24/00,3/9/02,5/8/00,5/7/03,5/8/01,2/2/01,6/6/02,3/4/00
29,Florida Panthers,29-45-8,6-Aug,0-2,16-20-5,13-25-3,20-30-4,9/15/04,13-16-1,7/14/03,6/7/01,3/8/03,14-15-8,6/25/00,3/7/02,4/8/03,8/5/01,6/6/01,1/4/00,5/11/01,2/4/00
30,Buffalo Sabres,21-51-10,5-Jul,5-Mar,13-21-7,8/30/03,14-31-9,7/20/01,7/18/05,7/13/04,1/13/00,6/7/01,13-17-10,1/19/00,2/12/01,4/8/01,5/5/02,4/5/04,3/4/00,2/11/01,1/6/01
