Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Washington Capitals,54-15-13,6-May,7-Jun,30-5-6,24-10-7,44-10-10,10/5/03,14-3-3,11/4/05,19-3-2,4/1/02,3/2/00,3/2/01,20-8-13,22-6-0,8/2/03,8/3/03,8/5/00,13-2-0,4/1/02,8/2/04,5-0-1
2,San Jose Sharks,51-20-11,6-Jul,5-Jan,27-6-8,24-14-3,12/4/02,39-16-9,5/1/00,4/1/01,3/2/01,11/5/04,14-5-1,14-6-4,20-6-11,20-10-0,9/4/01,9/2/03,8/2/03,10/2/02,4/3/00,7/7/01,4-0-1
3,Chicago Blackhawks,52-22-8,6-Sep,2-Jun,29-8-4,23-14-4,11/5/02,41-17-6,4/2/00,4/2/00,3/1/02,15-8-1,16-2-2,10/7/03,23-9-8,23-5-0,8/4/01,8/2/02,11/4/00,10/4/01,4/1/01,6/7/02,5-0-1
4,Phoenix Coyotes,50-25-7,14-6,1-May,29-10-2,21-15-5,11/6/01,39-19-6,4/1/01,3/3/00,4/2/00,13-5-2,13-7-0,13-7-4,29-6-7,13-11-0,9/4/00,6/7/01,10/2/03,8/5/01,4/3/00,10/4/01,3-0-1
5,Vancouver Canucks,49-28-5,4-Apr,1-Apr,30-8-3,19-20-2,13-5-0,36-23-5,4/1/00,6/2/00,3/2/00,10/9/01,15-7-2,11/7/02,17-8-5,23-8-0,7/7/00,7/5/00,10/4/01,10/2/01,3/4/00,9/4/02,3/2/01
6,New Jersey Devils,48-27-7,5-Jun,2-Feb,27-10-4,21-17-3,41-18-5,7/9/02,14-8-2,13-4-3,14-6-0,3/2/02,1/4/00,3/3/00,21-7-7,15-10-0,8/4/00,9/2/01,11/4/00,7/7/01,2/4/01,7/5/03,4/1/01
7,Detroit Red Wings,44-24-14,9-Jun,5-May,25-10-6,19-14-8,9/6/03,35-18-11,2/2/02,4/2/00,3/2/01,14-6-4,11/6/03,10/6/04,23-7-14,11/10/00,5/4/03,8/5/01,7/5/02,6/5/04,2/2/02,12/2/01,4/1/01
8,Pittsburgh Penguins,47-28-7,2-Aug,5-Jun,25-12-4,22-16-3,38-21-5,9/7/02,15-8-1,14-6-0,9/7/04,3/1/02,3/3/00,3/3/00,25-7-7,17-15-0,11/3/00,8/6/00,7/5/01,8/7/00,2/1/03,8/4/03,3/2/00
9,Los Angeles Kings,46-27-9,8-Oct,1-Apr,22-13-6,24-14-3,14-4-0,32-23-9,5/2/00,5/1/00,4/1/00,8/10/02,9/7/04,15-6-3,25-10-9,14-10-0,8/4/02,7/6/00,8/5/01,10/4/00,4/1/01,6/7/02,3-0-3
10,Nashville Predators,47-29-6,4-Aug,2-Jun,24-14-3,23-15-3,12/4/02,35-25-4,4/1/01,2/3/00,6-0-1,14-8-2,12/7/01,9/10/01,28-9-6,5/10/00,6/6/01,9/4/00,9/4/02,6/7/00,3/2/02,11/5/01,3/1/00
