Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
11,Buffalo Sabres,45-27-10,6-Apr,4-Jun,25-10-6,20-17-4,35-22-7,10/5/03,11/7/02,12/8/04,12/7/01,4/1/01,2/2/01,4/2/01,21-9-10,16-8-0,8/2/01,7/5/01,9/4/02,8/3/03,1/4/02,10/5/01,2/4/00
12,Colorado Avalanche,43-30-9,5-Jul,4-Feb,24-14-3,19-16-6,12/5/01,31-25-8,2/3/00,5-0-0,5/2/01,12/5/03,10/11/03,9/9/02,23-10-9,16-10-0,10/2/02,5/6/03,8/5/01,7/5/00,5/2/00,6/8/01,2/2/02
13,Ottawa Senators,44-32-6,5-May,1-May,26-11-4,18-21-2,35-24-5,9/8/01,10/9/01,14-7-3,11/8/01,3/1/01,5/3/00,1/4/00,20-5-6,10/22/00,6/4/02,7/3/02,8/9/00,10/5/00,5/2/00,6/7/01,2/2/01
14,Boston Bruins,39-30-13,9-Oct,4-Apr,18-17-6,21-13-7,32-23-9,7/7/04,7/9/04,13-8-3,12/6/02,2/3/01,3/1/01,2/3/02,19-14-13,13-11-0,6/5/01,7/3/04,7/4/02,3/9/02,4/1/02,8/7/01,4/1/01
15,Calgary Flames,40-32-10,7-Mar,3-Feb,20-17-4,20-15-6,11/5/02,29-27-8,2/3/00,5/2/01,4-0-1,7/11/02,12/9/03,10/7/03,18-15-10,10/10/00,7/4/01,10/2/02,6/6/02,4/8/03,3/3/01,9/6/00,1/3/01
16,St. Louis Blues,40-32-10,5-Jul,5-Mar,18-18-5,22-14-5,9/7/02,31-25-8,5/1/01,2/3/00,2/3/01,10/11/03,10/8/02,11/6/03,21-9-10,12/10/00,5/6/01,5/4/04,7/7/01,7/5/03,4/3/00,9/5/00,3/2/01
17,Anaheim Ducks,39-32-11,8-May,3-Mar,25-11-5,14-21-6,9/7/02,30-25-9,2/4/00,3/1/02,4/2/00,10/8/02,13-4-3,7/13/04,18-6-11,10/16/00,4/6/02,6/5/02,6/6/03,9/6/00,5/2/00,7/6/01,2/1/03
18,Philadelphia Flyers,41-35-6,3-Apr,3-Feb,24-14-3,17-21-3,33-28-3,8/7/03,14-9-1,9/9/02,10/10/00,4-0-1,1/4/01,3/3/01,17-11-6,17-13-0,6/4/01,7/6/00,6/8/01,8/5/01,5/2/00,6/7/03,3/3/00
19,Montreal Canadiens,39-33-10,5-Jul,5-Aug,20-16-5,19-17-5,32-24-8,7/9/02,10/8/02,11/9/04,11/7/02,1/2/02,2/6/00,4/1/00,20-14-10,9/9/00,7/7/00,5/5/02,9/7/01,4/6/03,4/3/00,8/4/02,2/1/02
20,Dallas Stars,37-31-14,10-Jul,4-Feb,23-11-7,14-20-7,7/9/02,30-22-12,2/5/00,2/3/00,3/1/02,9/8/03,10/6/04,11/8/05,18-6-14,9/15/00,6/3/05,6/5/02,6/3/04,6/9/00,4/1/01,6/8/02,3/2/00
21,New York Rangers,38-33-11,4-Mar,7-Jan,18-17-6,20-16-5,31-23-10,7/10/01,10/10/04,11/6/03,10/7/03,1/4/01,2/3/00,4/3/00,13-11-11,18-11-0,8/5/01,5/8/00,6/4/03,6/7/03,3/3/00,6/5/03,4/1/01
22,Minnesota Wild,38-36-8,7-May,1-May,25-12-4,13-24-4,10/4/04,28-32-4,6/1/00,3/1/01,1/2/03,8/11/01,15-7-2,5/14/01,24-12-8,6/14/00,5/9/00,5/3/03,10/6/00,7/6/01,3/3/00,7/7/02,1/2/02
23,Atlanta Thrashers,35-34-13,6-Apr,7-Feb,19-16-6,16-18-7,27-27-10,8/7/03,10/8/02,9/5/06,8/14/02,3/4/01,2/2/01,3/1/01,17-15-13,7/15/00,5/4/01,9/3/02,4/10/01,6/5/04,2/2/02,8/7/02,1/3/01
24,Carolina Hurricanes,35-37-10,5-Apr,5-May,21-17-3,14-20-7,30-25-9,5/12/01,8/8/04,10/8/02,12/9/03,1/4/00,3/3/01,1/5/00,14-7-10,15-16-0,2/7/03,3/10/02,5/6/02,9/5/00,5/2/00,9/5/02,2/2/01
25,Tampa Bay Lightning,34-36-12,7-Apr,5-May,21-14-6,13-22-6,28-29-7,6/7/05,7/11/02,8/8/04,13-10-1,1/4/00,3/2/01,2/1/04,15-11-12,11/21/00,4/3/04,6/4/04,5/8/02,7/6/01,4/3/00,5/10/01,3/2/00
26,New York Islanders,34-37-11,6-Aug,5-Jun,23-14-4,11/23/07,24-31-9,10/6/02,7/15/02,9/7/04,8/9/03,5/1/01,4/1/00,1/4/01,19-13-11,9/18/00,4/4/05,6/6/02,6/8/01,7/7/00,2/4/00,6/6/02,3/2/01
27,Columbus Blue Jackets,32-35-15,10-Feb,5-Mar,20-12-9,12/23/06,8/7/03,24-28-12,0-3-3,2/3/00,6/1/00,7/9/08,8/10/02,9/9/02,15-11-15,8/17/00,6/5/01,7/4/03,2/9/05,7/8/00,3/2/01,7/4/03,0-3-2
28,Florida Panthers,32-37-13,10-Jun,3-Feb,16-16-9,16-21-4,25-30-9,7/7/04,10/5/05,7/12/01,8/13/03,3/3/01,2/3/01,2/1/02,15-10-13,13-20-0,4/7/01,6/5/03,6/6/03,8/4/02,0-5-1,6/7/02,2/3/01
29,Toronto Maple Leafs,30-38-14,4-Apr,10-May,18-17-6,12/21/08,25-26-13,5/12/01,6/11/03,10/7/07,9/8/03,3/2/00,1/7/00,1/3/01,16-8-14,10/19/00,1/7/04,5/5/03,8/6/02,3/10/02,2/3/00,9/5/02,2/2/01
30,Edmonton Oilers,27-47-8,6-Aug,2-Jan,18-19-4,9/28/04,7/9/02,20-38-6,2/3/00,2/4/02,3/2/00,6/13/01,8/14/02,6/11/03,14-13-8,6/18/00,7/6/01,3/7/03,6/8/00,0-10-2,3/5/00,5/9/01,3/2/01
