Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,San Jose Sharks,53-18-11,5-Jun,6-Apr,32-5-4,21-13-7,12/3/03,41-15-8,5/1/01,3/1/01,4/1/01,10/5/05,14-3-3,17-7-0,26-7-11,14-7-0,9/2/00,11/1/01,8/1/04,8/3/00,6/3/04,8/5/02,3/3/00
2,Boston Bruins,53-19-10,6-Apr,4-Mar,29-6-6,24-13-4,44-13-7,9/6/03,12/4/04,17-5-2,15-4-1,4/1/02,3/3/00,2/2/01,18-10-10,17-2-0,5/3/03,11/1/01,12/1/00,8/3/02,6/4/03,7/5/01,4/2/00
3,Detroit Red Wings,51-21-10,4-Jun,6-Mar,27-9-5,24-12-5,12/5/01,39-16-9,4/1/01,3/3/00,5/1/00,14-8-2,12/3/05,13-5-2,24-7-10,18-6-0,7/2/02,8/2/02,9/3/01,7/4/02,10/3/01,8/4/01,2/3/01
4,Washington Capitals,50-24-8,5-Apr,3-Jun,29-9-3,21-15-5,42-14-8,8/10/00,14-2-4,12/4/04,16-8-0,5/2/00,1/4/00,2/4/00,19-7-8,14-14-0,5/3/01,8/5/02,11/3/00,7/4/01,9/3/01,6/5/02,4/1/01
5,New Jersey Devils,51-27-4,2-Jun,2-Sep,28-12-1,23-15-3,39-22-3,12/5/01,13-10-1,13-5-2,13-7-0,4/1/01,4/1/00,4/3/00,25-5-4,18-13-0,5/2/02,7/6/00,9/4/01,11/3/00,8/4/00,7/6/01,4/2/00
6,Chicago Blackhawks,46-24-12,7-Apr,5-Jun,24-9-8,22-15-4,9/6/03,37-18-9,2/3/02,3/2/01,4/1/00,10/7/07,12/7/01,15-4-1,12/7/12,18-9-0,4/3/03,6/3/03,10/1/01,7/6/01,7/4/01,6/7/02,6-0-1
7,Vancouver Canucks,45-27-10,7-Mar,3-May,24-12-5,21-15-5,10/6/02,35-21-8,2/2/01,5/3/00,3/1/01,10/9/01,15-6-3,10/6/04,17-9-10,13-8-0,6/5/00,8/3/02,6/7/01,2/5/05,9/2/00,11/3/01,3/2/01
8,Pittsburgh Penguins,45-28-9,6-Jun,3-Jun,25-13-3,20-15-6,35-22-7,10/6/02,15-4-5,8/11/01,12/7/01,4/2/01,2/2/01,4/2/00,19-8-9,17-11-0,5/4/02,9/2/01,5/8/01,5/8/01,7/4/01,10/1/02,4/1/01
9,Philadelphia Flyers,44-27-11,6-Apr,5-Jun,24-13-4,20-14-7,36-20-8,8/7/03,13-7-4,10/8/02,13-5-2,1/4/00,3/3/00,4-0-3,18-11-11,14-11-0,4/3/03,7/4/02,9/3/02,6/4/02,7/3/01,8/7/00,3/3/01
10,Calgary Flames,46-30-6,2-Mar,4-Mar,27-10-4,19-20-2,10/7/01,36-23-5,3/2/00,6/2/00,1/3/01,11/7/02,14-8-2,11/8/01,21-9-6,17-14-0,6/3/01,8/6/00,8/2/03,8/3/00,7/4/02,6/9/00,3/3/00
11,Carolina Hurricanes,45-30-7,5-Mar,2-Jul,26-14-1,19-16-6,37-22-5,8/8/02,12/5/03,10/9/01,15-8-1,2/3/01,2/3/00,4/2/01,24-8-7,12/12/00,5/2/02,7/9/00,6/4/03,7/6/00,7/6/00,10/1/02,3/2/00
12,New York Rangers,43-30-9,6-Oct,3-Mar,26-11-4,17-19-5,33-24-7,10/6/02,15-9-0,8/9/03,10/6/04,4/1/01,2/2/01,4/3/00,24-10-9,8/14/00,10/2/01,7/6/01,6/5/01,6/5/01,3/6/04,8/4/01,3/2/00
13,Montreal Canadiens,41-30-11,7-Jul,4-Apr,24-10-7,17-20-4,28-26-10,13-4-1,9/7/04,10/10/04,9/9/02,4-0-1,5/3/00,4/1/00,20-8-11,14-11-0,7/1/01,6/5/03,8/3/02,7/6/00,6/7/01,5/5/03,2/3/01
14,Florida Panthers,41-30-11,8-Mar,3-Apr,22-12-7,19-18-4,33-21-10,8/9/01,10/6/04,10/8/02,13-7-4,2/4/01,3/2/00,3/3/00,16-4-11,13-11-0,4/5/00,5/6/03,7/5/02,7/2/03,8/5/00,7/5/03,3/2/00
15,Columbus Blue Jackets,41-31-10,7-Jun,3-May,25-13-3,16-18-7,13-3-2,28-28-8,3/3/01,5-0-0,5-0-1,10/10/04,12/6/02,6/12/02,20-6-10,9/15/00,4/6/00,6/4/03,7/6/01,7/5/01,7/4/01,9/4/02,1/2/02
16,St. Louis Blues,41-31-10,6-Jun,4-Apr,23-13-5,18-18-5,7/10/01,34-21-9,2/3/00,2/3/01,3/4/00,14-6-4,9/8/03,11/7/02,18-9-10,11/12/00,5/4/00,5/6/02,4/10/01,6/4/01,8/2/04,9/4/01,4/1/01
17,Anaheim Ducks,42-33-7,3-Jul,4-May,20-18-3,22-15-4,7/10/01,35-23-6,1/4/01,5/1/00,1/5/00,10/7/03,13-6-1,12/10/02,23-14-7,11/7/00,6/5/01,8/3/02,5/7/01,6/7/01,6/6/00,8/4/01,3/1/01
18,Buffalo Sabres,41-32-9,5-Aug,4-Feb,23-15-3,18-17-6,32-24-8,9/8/01,9/10/01,14-8-2,9/6/05,1/5/00,3/1/01,5/2/00,16-7-9,12/13/00,6/2/02,5/7/01,6/6/02,9/4/00,5/6/02,6/5/01,4/2/01
19,Minnesota Wild,40-33-9,3-May,6-Mar,23-11-7,17-22-2,12/5/01,28-28-8,3/3/00,3/2/01,6-0-0,10/9/01,10/10/04,8/9/03,19-13-9,16-5-0,6/2/01,8/5/00,4/9/01,7/5/01,5/5/02,6/6/04,4/1/00
20,Nashville Predators,40-34-8,5-Jun,3-Jun,24-13-4,16-21-4,8/8/02,32-26-6,2/3/00,3/2/00,3/3/02,12/9/03,7/13/00,13-4-3,22-8-8,6/14/00,5/4/01,6/6/01,6/6/01,4/8/00,10/4/01,7/3/04,2/3/00
21,Edmonton Oilers,38-35-9,4-Jun,5-Jan,18-17-6,20-18-3,9/6/03,29-29-6,4/1/00,2/4/02,3/1/01,8/11/01,11/9/04,10/9/01,19-13-9,11/12/00,4/4/01,6/7/01,7/5/01,8/4/00,6/6/02,5/6/04,2/3/00
22,Dallas Stars,36-35-11,6-Jun,5-May,20-16-5,16-19-6,8/7/03,28-28-8,4/3/00,1/2/02,3/2/01,9/10/01,11/9/00,8/9/07,19-10-11,7/16/00,4/5/02,4/6/02,8/4/01,7/3/02,6/7/00,5/8/03,2/2/01
23,Ottawa Senators,36-35-11,6-Apr,5-Mar,22-12-7,14-23-4,29-25-10,7/10/01,9/7/04,10/10/04,10/8/02,2/3/00,3/4/01,2/3/00,17-10-11,10/13/00,4/5/01,4/5/03,5/7/01,4/6/02,6/5/03,10/5/00,3/2/01
24,Toronto Maple Leafs,34-35-13,7-Jun,6-Apr,16-16-9,18-19-4,29-27-8,5/8/05,14-4-2,9/13/02,6/10/04,1/1/03,3/4/01,1/3/01,16-5-13,11/20/00,4/3/03,4/6/03,7/7/00,4/7/02,6/3/04,6/6/01,3/3/00
25,Phoenix Coyotes,36-39-7,3-Mar,4-Jan,23-15-3,13-24-4,8/9/01,28-30-6,2/3/01,2/4/00,4/2/00,6/11/03,9/10/01,13-9-2,17-11-7,10/20/00,4/4/00,6/7/02,8/4/03,6/7/00,3/9/00,5/6/02,4/2/00
26,Los Angeles Kings,34-37-11,8-May,3-Mar,18-15-8,16-22-3,9/7/02,25-30-9,3/3/01,2/3/00,4/1/01,7/11/02,8/9/03,10/10/04,20-12-11,11/10/00,3/5/01,7/4/02,5/7/03,5/5/01,6/5/02,5/8/02,3/3/00
27,Atlanta Thrashers,35-41-6,1-Jul,5-Apr,18-21-2,17-20-4,27-33-4,8/8/02,6/13/01,10/9/01,11/11/02,1/5/01,5/1/00,2/2/01,15-14-6,13-12-0,2/6/02,6/6/01,4/9/02,5/8/00,6/5/01,9/4/00,3/3/00
28,Colorado Avalanche,32-45-5,4-Sep,1-Mar,18-21-2,14-24-3,7/11/00,25-34-5,2/4/00,2/3/00,3/4/00,9/11/00,10/12/02,6/11/03,22-15-5,8/21/00,5/5/00,6/7/00,8/5/01,4/9/00,5/8/00,3/9/01,1/2/03
29,Tampa Bay Lightning,24-40-18,10-Mar,8-Feb,12/18/11,12/22/07,18-31-15,6/9/03,4/9/07,9/7/04,5/15/04,2/2/01,1/4/02,3/3/00,10/11/18,5/13/00,3/3/03,3/7/04,4/6/03,7/7/00,3/7/02,4/6/05,0-4-1
30,New York Islanders,26-47-9,5-Mar,4-Mar,17-18-6,9/29/03,18-38-8,8/9/01,4/17/03,8/9/03,6/12/02,4/2/00,2/4/00,2/3/01,11/17/09,4/16/00,2/6/01,8/6/01,2/10/02,3/7/01,4/7/02,6/5/02,1/6/00
