Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Tampa Bay Lightning,62-16-4,1-Jun,3-Jul,32-7-2,30-9-2,44-8-0,18-8-4,23-5-0,21-3-0,7/4/03,11/4/01,24-3-4,30-8-0,8/2/01,10/5/00,13-0-1,6/4/00,12/1/02,10/3/00,3/1/00
2,Calgary Flames,50-25-7,0-4,3-May,26-10-5,24-15-2,21-7-4,29-18-3,8/5/03,13-2-1,13-7-1,16-11-2,16-8-7,22-6-0,7/5/01,8/4/01,9/3/02,9/1/01,8/3/02,8/7/00,1/2/00
3,Boston Bruins,49-24-9,3-Feb,6-Sep,29-9-3,20-15-6,29-19-4,20-5-5,16-10-2,13-9-2,8/3/03,12/2/02,21-6-9,23-11-0,7/3/02,7/4/02,7/7/00,6/3/03,11-0-2,9/6/00,2/1/00
4,Washington Capitals,48-26-8,1-Apr,7-May,24-11-6,24-15-2,33-14-5,15-12-3,14-7-3,19-7-2,5/7/02,10/5/01,19-5-8,16-14-0,5/3/02,10/4/01,9/4/00,3/6/03,9/4/01,11/3/01,1/2/00
5,New York Islanders,48-27-7,5-May,2-Jun,24-13-4,24-14-3,30-17-5,18-10-2,12/8/04,18-9-1,9/4/01,9/6/01,19-6-7,19-12-0,6/4/01,6/5/02,9/4/01,8/2/01,8/4/02,9/7/00,2/1/00
6,San Jose Sharks,46-27-9,0-3,6-Aug,25-11-5,21-16-4,14-13-5,32-14-4,6/8/02,8/5/03,15-6-0,17-8-4,18-5-9,22-14-0,6/3/03,6/6/02,9/4/02,8/3/00,8/3/01,7/7/01,2/1/00
7,Nashville Predators,47-29-6,2-Apr,4-May,25-14-2,22-15-4,20-8-4,27-21-2,11/3/02,9/5/02,14-11-1,13-10-1,19-10-6,19-11-0,9/3/00,8/5/01,6/7/01,7/3/02,7/6/01,7/5/01,3-0-0
8,Toronto Maple Leafs,46-28-8,0-2,6-Jun,23-16-2,23-12-6,28-18-6,18-10-2,14-10-4,14-8-2,6/7/01,12/3/01,12/5/08,18-15-0,8/4/00,10/4/00,8/3/02,4/6/00,9/4/02,6/5/03,1/2/01
9,Pittsburgh Penguins,44-26-12,3-Feb,9-May,23-14-4,21-12-8,26-15-11,18-11-1,11/7/06,15-8-5,9/5/00,9/6/01,14-5-12,21-15-0,6/2/02,4/7/03,11/3/01,6/5/00,6/5/02,10/3/03,1/1/01
10,Winnipeg Jets,47-30-5,1-Feb,4-Jul,25-12-4,22-18-1,18-12-2,29-18-3,7/7/02,11/5/00,13-12-1,16-6-2,19-7-5,18-15-0,7/4/01,7/4/01,11/4/00,8/4/00,4/6/02,8/7/00,2/1/01
