Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
11,Carolina Hurricanes,46-29-7,2-Feb,5-May,24-13-4,22-16-3,27-21-4,19-8-3,14-8-2,13-13-2,10/4/00,9/4/03,15-6-7,20-14-0,6/5/01,6/4/03,4/8/01,8/3/01,10/3/00,9/6/01,3-0-0
12,St. Louis Blues,45-28-9,3-Mar,6-Jun,24-15-2,21-13-7,20-10-2,25-18-7,11/4/01,9/6/01,12/9/05,13-9-2,16-8-9,22-15-0,3/4/03,6/8/00,6/6/01,7/4/01,12/1/01,8/5/02,3-0-1
13,Columbus Blue Jackets,47-31-4,1-Feb,3-Aug,22-17-2,25-14-2,31-19-2,16-12-2,13-10-1,18-9-1,9/5/00,7/7/02,17-6-4,25-16-0,6/5/00,9/3/02,8/5/01,5/6/00,8/5/00,9/6/01,2/1/00
14,Montreal Canadiens,44-30-8,Mar-00,8-Apr,25-12-4,19-18-4,27-17-8,17-13-0,15-8-5,12/9/03,6/8/00,11/5/00,17-9-8,17-17-0,6/3/02,5/6/03,10/5/00,7/4/00,6/5/02,8/6/01,2/1/00
15,Dallas Stars,43-32-7,2-Jan,5-Jun,24-14-3,19-18-4,15-15-2,28-17-5,9/5/02,6/10/00,14-10-2,14-7-3,17-10-7,15-13-0,6/5/00,7/5/03,7/6/01,5/5/00,7/6/01,9/4/02,2/1/00
16,Vegas Golden Knights,43-32-7,2-Mar,5-Apr,24-12-5,19-20-2,15-13-4,28-19-3,6/7/03,9/6/01,10/11/00,18-8-3,17-9-7,17-16-0,5/6/01,9/6/00,9/3/03,6/4/00,5/7/01,8/4/02,1/2/00
17,Colorado Avalanche,38-30-14,2-Feb,12-Mar,21-14-6,17-16-8,16-10-6,22-20-8,9/5/02,7/5/04,12/9/05,10/11/03,9/8/14,21-18-0,7/3/02,8/3/03,4/7/03,3/7/00,6/4/04,8/5/01,2/1/01
18,Arizona Coyotes,39-35-8,3-Apr,5-May,20-17-4,19-18-4,12/16/04,27-19-4,7/9/00,5/7/04,11/9/01,16-10-3,16-8-8,16-15-0,6/5/00,5/6/02,6/9/00,6/3/02,8/5/01,7/5/03,1/2/00
19,Florida Panthers,36-32-14,7-Mar,7-Jul,20-13-8,16-19-6,23-19-10,13-13-4,14-11-3,9/8/07,5/8/01,8/5/03,14-12-14,12/15/00,2/4/03,8/6/01,7/5/02,3/5/02,8/5/02,7/7/02,1-0-2
20,Chicago Blackhawks,36-34-12,1-Mar,11-Sep,19-14-8,17-20-4,16-13-3,20-21-9,9/6/01,7/7/02,14-8-4,6/13/05,20-9-12,12/16/00,6/4/03,3/8/02,6/8/01,3/4/03,9/4/00,7/5/02,2/1/01
21,Minnesota Wild,37-36-9,4-Jan,5-Mar,16-18-7,21-18-2,14-14-4,23-22-5,9/6/01,5/8/03,12/10/04,11/12/01,18-9-9,11/20/00,7/3/02,7/6/00,4/8/01,8/4/00,5/6/03,5/7/03,1/2/00
22,Philadelphia Flyers,37-37-8,1-Mar,7-Jun,19-18-4,18-19-4,22-26-4,15-11-4,12/10/02,10/16/02,7/7/00,8/4/04,18-8-8,15-22-0,5/7/00,5/5/02,5/6/03,7/5/01,8/3/02,7/8/00,0-3-0
23,Vancouver Canucks,35-36-11,6-Jun,5-Jul,20-16-5,15-20-6,14-15-3,21-21-8,10/4/02,4/11/01,10/7/04,11/14/04,17-14-11,12/19/00,8/6/00,3/8/03,8/5/01,4/3/02,4/7/03,7/6/01,1/1/01
24,Anaheim Ducks,35-37-10,3-Mar,7-May,19-14-8,16-23-2,14-14-4,21-23-6,5/8/03,9/6/01,9/10/02,12/13/04,20-7-10,9/22/00,5/6/02,8/4/03,6/5/02,2/6/02,3/10/00,9/6/01,2-0-0
25,Edmonton Oilers,35-38-9,3-Mar,6-Aug,18-19-4,17-19-5,14-14-4,21-24-5,7/7/02,7/7/02,9/9/03,12/15/02,19-6-9,11/25/00,6/4/01,6/7/01,6/7/01,5/6/00,4/6/04,7/5/02,1/3/00
26,New York Rangers,32-36-14,5-Jun,9-Mar,18-14-9,14-22-5,21-22-9,11/14/05,11/10/03,10/12/06,6/7/01,5/7/04,18-10-14,7/18/00,4/7/01,9/4/01,4/3/05,5/7/00,5/5/03,4/8/03,1/2/01
27,Buffalo Sabres,33-39-10,3-May,7-Jul,21-15-5,12/24/05,19-25-8,14-14-2,11/12/05,8/13/03,4/9/01,10/5/01,17-9-10,9/19/00,6/4/02,11/3/01,4/6/03,4/6/00,4/7/02,2/12/02,2/1/00
28,Detroit Red Wings,32-40-10,5-Mar,5-Sep,17-19-5,15-21-5,20-25-7,12/15/03,9/15/04,11/10/03,5/7/02,7/8/01,20-13-10,6/11/00,3/7/02,8/4/01,4/8/04,4/6/00,4/7/02,8/6/01,1/2/00
29,New Jersey Devils,31-41-10,4-Mar,6-Apr,20-14-7,11/27/03,19-28-5,12/13/05,10/12/02,9/16/03,3/7/04,9/6/01,12/10/10,15-26-0,5/3/01,4/8/03,6/5/03,4/8/00,6/7/01,4/9/02,2/1/00
30,Los Angeles Kings,31-42-9,4-Mar,5-Jun,17-21-3,14-21-6,9/19/04,22-23-5,2/11/03,7/8/01,8/11/02,14-12-3,14-8-9,12/21/00,3/7/01,6/9/00,7/5/02,4/5/01,3/7/04,6/7/01,2/2/00
31,Ottawa Senators,29-47-6,0-1,5-Jun,18-19-4,11/28/02,17-32-3,12/15/03,10/16/02,7/16/01,6/7/01,6/8/02,9/11/06,13-26-0,4/5/02,7/7/01,4/9/01,4/5/01,3/11/00,6/7/01,1/3/00
