Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
13,Boston Bruins,44-31-7,3-Feb,4-Apr,23-17-1,21-14-6,27-20-7,17-11-0,18-10-2,9/10/05,8/6/00,9/5/00,19-11-7,19-10-0,4/4/00,8/6/01,8/5/03,6/6/02,7/3/00,8/6/00,3/1/01
14,Toronto Maple Leafs,40-27-15,8-Jan,7-Jun,21-13-7,19-14-8,30-17-7,10/10/08,18-9-3,12/8/04,5/5/04,5/5/04,14-8-15,14-15-0,2/4/03,8/5/01,6/3/03,7/4/02,5/5/04,9/3/02,3/3/00
15,Calgary Flames,45-33-4,2-Apr,2-Sep,24-17-0,21-16-4,18-13-1,27-20-3,11/5/00,7/8/01,14-7-0,13-13-3,20-5-4,16-14-0,4/5/01,7/8/01,9/4/00,5/7/01,9/2/01,10/4/00,1/3/00
16,Tampa Bay Lightning,42-30-10,3-Apr,7-Jun,23-14-4,19-16-6,30-18-6,12/12/04,19-7-4,11/11/02,7/5/02,5/7/02,15-5-10,20-12-0,5/4/00,8/6/01,6/5/03,3/8/02,6/2/02,10/4/01,4/1/01
17,Nashville Predators,41-29-12,4-Feb,8-Apr,24-9-8,17-20-4,14-12-6,27-17-6,6/8/02,8/4/04,16-12-1,11/5/05,14-8-12,14-13-0,2/5/01,9/3/02,5/6/03,8/4/02,8/4/01,7/5/02,2/2/01
18,New York Islanders,41-29-12,4-Feb,8-Jun,22-12-7,19-17-5,26-20-8,15-9-4,11/10/03,15-10-5,7/5/02,8/4/02,15-10-12,12/12/00,4/5/00,4/5/04,7/5/02,7/2/03,7/5/01,7/7/02,5-0-0
19,Philadelphia Flyers,39-33-10,5-Jul,5-Jul,25-11-5,14-22-5,25-23-6,14-10-4,13-9-2,12/14/04,8/5/01,6/5/03,20-9-10,8/14/00,4/5/01,7/5/02,9/4/01,5/6/02,4/6/01,8/6/01,2/1/02
20,Winnipeg Jets,40-35-7,1-Mar,6-Apr,22-18-1,18-17-6,14-14-4,26-21-3,8/6/02,6/8/02,19-8-2,7/13/01,18-11-7,12/18/00,4/5/00,7/7/02,6/7/01,7/6/01,4/5/02,8/5/01,4-0-0
21,Carolina Hurricanes,36-31-15,6-Mar,9-May,23-12-6,13-19-9,24-20-10,12/11/05,13-5-6,11/15/04,6/5/03,6/6/02,18-10-15,8/11/00,2/4/02,7/5/02,7/4/03,6/7/00,3/5/02,10/2/05,1/4/01
22,Los Angeles Kings,39-35-8,4-Feb,4-Dec,23-16-2,16-19-6,15-15-2,24-20-6,6/9/01,9/6/01,12/6/03,12/14/03,19-13-8,12/14/00,4/5/00,8/5/01,6/5/03,7/6/00,5/6/02,7/6/01,2/2/01
23,Florida Panthers,35-36-11,6-May,5-Jul,19-19-3,16-17-8,22-25-7,13-11-4,11/14/05,11/11/02,7/5/02,6/6/02,19-12-11,10/16/00,4/4/01,7/6/01,5/4/06,6/5/02,7/4/00,4/10/01,2/3/00
24,Dallas Stars,34-37-11,2-Jan,9-May,22-13-6,12/24/05,12/16/04,22-21-7,5/10/01,7/6/03,9/15/05,13-6-2,17-8-11,10/17/00,3/4/01,6/5/05,7/6/01,5/5/03,4/8/00,6/7/01,3/2/00
25,Detroit Red Wings,33-36-13,Sep-00,13-Jul,17-17-7,16-19-6,19-24-11,14-12-2,8/15/07,11/9/04,8/5/01,6/7/01,20-12-13,7/15/00,6/4/00,5/6/02,5/6/02,4/5/05,5/5/01,6/8/02,2/2/01
26,Buffalo Sabres,33-37-12,6-Feb,6-Jun,20-15-6,13-22-6,19-26-9,14-11-3,13-13-4,6/13/05,7/5/02,7/6/01,18-9-12,9/14/00,3/3/02,5/6/03,5/6/03,7/5/01,6/6/02,6/7/01,1/4/00
27,Arizona Coyotes,30-42-10,2-Jun,8-Apr,18-18-5,12/24/05,13-15-4,17-27-6,6/7/03,7/8/01,5/15/01,12/12/05,20-12-10,5/22/00,2/6/00,6/4/03,3/11/02,5/6/01,6/6/01,6/8/02,2/1/01
28,New Jersey Devils,28-40-14,3-Mar,11-Jul,16-17-8,12/23/06,18-29-7,10/11/07,7/13/04,11/16/03,5/5/04,5/6/03,18-10-14,6/19/00,4/2/02,6/5/03,4/9/02,7/5/02,4/4/03,2/11/02,1/4/00
29,Vancouver Canucks,30-43-9,2-Apr,7-Jul,18-17-6,12/26/03,9/17/06,21-26-3,6/8/02,3/9/04,10/9/02,11/17/01,20-9-9,5/18/00,4/4/01,6/7/01,7/7/01,6/3/03,3/8/01,4/9/02,0-5-0
30,Colorado Avalanche,22-56-4,2-Jan,2-Jul,13-26-2,9/30/02,12/19/01,10-37-3,6/9/01,6/10/00,8/21/01,2/16/02,13-15-4,4/27/00,4/3/00,5/8/01,3/12/00,1/9/01,4/9/01,4/12/00,1/3/01
