Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Washington Capitals,55-19-8,5-Feb,3-Aug,32-7-2,23-12-6,36-11-7,19-8-1,18-4-2,18-7-5,11/2/01,8/6/00,20-5-8,22-8-0,5/2/01,8/4/01,8/3/03,12/2/01,9/2/01,9/5/01,4/1/00
2,Pittsburgh Penguins,50-21-11,5-Apr,6-Jun,31-6-4,19-15-7,35-14-5,15-7-6,15-6-3,20-8-2,6/7/01,9-0-5,19-3-11,24-15-0,6/2/01,7/5/02,12/1/02,6/5/00,7/2/03,9/4/03,3/2/00
3,Chicago Blackhawks,50-23-9,1-Apr,8-Sep,26-10-5,24-13-4,20-9-3,30-14-6,10/5/01,10/4/02,19-8-2,11/6/04,24-9-9,14-8-0,5/3/01,10/3/02,8/5/02,7/6/00,9/1/00,11/3/02,0-2-2
4,Columbus Blue Jackets,50-24-8,2-Feb,6-Sep,28-12-1,22-12-7,33-16-5,17-8-3,15-7-2,18-9-3,8/4/02,9/4/01,23-9-8,16-7-0,3/3/01,9/2/03,14-0-0,7/7/00,6/4/02,10/4/02,1/4/00
5,Minnesota Wild,49-25-8,2-Mar,6-Apr,27-12-2,22-13-6,18-11-3,31-14-5,13-2-1,5/9/02,17-9-3,14-5-2,19-13-8,18-4-0,6/2/01,5/6/02,12/1/01,10/2/01,8/3/01,4/10/02,4/1/00
6,Anaheim Ducks,46-23-13,3-Mar,10-Mar,29-8-4,17-15-9,16-10-6,30-13-7,9/4/03,7/6/03,12/7/02,18-6-5,22-9-13,15-10-0,3/4/02,8/4/02,7/4/04,10/3/01,4/6/01,10/2/02,4-0-1
7,Edmonton Oilers,47-26-9,5-Apr,4-Jun,25-12-4,22-14-5,14-15-3,33-11-6,8/6/02,6/9/01,13-5-3,20-6-3,21-8-9,17-7-0,7/2/00,5/8/02,7/2/05,9/4/01,6/6/00,9/3/01,4/1/00
8,Montreal Canadiens,47-26-9,2-Mar,7-Nov,24-12-5,23-14-4,32-15-7,15-11-2,19-5-6,13-10-1,6/7/01,9/4/01,23-9-9,18-9-0,8-0-1,8/5/01,6/4/04,8/5/01,5/7/01,9/3/01,3/2/00
9,New York Rangers,48-28-6,4-Mar,2-May,21-16-4,27-12-2,27-22-5,21-6-1,12/9/03,15-13-2,10/4/00,11/2/01,23-10-6,18-8-0,6/3/00,10/4/01,10/5/00,5/6/00,9/3/01,6/5/04,2/2/00
10,San Jose Sharks,46-29-7,1-Feb,6-Jun,26-11-4,20-18-3,21-7-4,25-22-3,10/3/03,11/4/01,9/11/00,16-11-3,19-14-7,14-11-0,6/3/00,8/6/01,9/4/00,9/4/01,5/1/05,6/10/00,3/1/00
11,St. Louis Blues,46-29-7,2-Feb,5-Jun,24-12-5,22-17-2,19-12-1,27-17-6,10/5/01,9/7/00,14-12-3,13-5-3,19-6-7,18-13-0,5/2/02,8/5/01,6/6/02,5/8/00,7/5/00,11/2/02,4/1/00
12,Ottawa Senators,44-28-10,4-Jun,6-Apr,22-11-8,22-17-2,29-18-7,15-10-3,14-12-4,15-6-3,6/7/01,9/3/02,21-9-10,10/14/00,5/3/00,9/5/01,6/4/03,6/4/02,7/6/00,8/4/03,3/2/01
