Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Buffalo Sabres,53-22-7,4-Oct,3-May,28-10-3,25-12-4,47-19-6,6/3/01,14-5-1,18-11-3,15-3-2,3/1/01,3/2/00,,25-9-7,20-7-0,10-0-1,9/3/01,9/4/01,6/7/01,8/2/01,8/5/02,3/1/00
2,Detroit Red Wings,50-19-13,8-Feb,5-Mar,29-4-8,21-15-5,6/3/01,44-16-12,4/1/00,2/2/01,,22-4-6,9/6/05,13-6-1,18-5-13,20-8-0,6/4/01,7/2/03,11/3/01,8/5/01,8/2/02,7/3/04,3-0-1
3,Nashville Predators,51-23-8,5-Jun,3-Mar,28-8-5,23-15-3,7/2/01,44-21-7,4/1/00,3/1/01,,21-8-3,12/5/03,11/8/01,23-7-8,20-8-0,7/3/01,10/2/01,9/5/01,10/3/00,7/5/01,6/5/03,2-0-1
4,Anaheim Ducks,48-20-14,10-Apr,4-May,26-6-9,22-14-5,6/2/02,42-18-12,2/1/02,,4/1/00,12/5/03,11/5/04,19-8-5,23-10-14,16-6-0,9-0-3,10/2/03,9/5/00,4/5/02,5/5/02,10/3/02,1-0-2
5,San Jose Sharks,51-26-5,2-Feb,3-Jan,25-12-4,26-14-1,8/2/00,43-24-5,4/1/00,,4/1/00,14-5-1,11/6/03,18-13-1,13-8-5,23-10-0,9/4/00,10/3/00,7/7/00,7/3/01,5/7/01,10/2/02,3-0-1
6,Dallas Stars,50-25-7,4-Sep,3-Jun,28-11-2,22-14-5,4/4/02,46-21-5,2/2/01,,2/2/01,8/10/02,14-4-2,24-7-1,28-8-7,11/7/00,9/2/00,7/7/00,9/6/00,5/4/02,8/2/01,10/3/03,2/1/01
7,New Jersey Devils,49-24-9,8-Oct,1-Mar,25-10-6,24-14-3,47-18-7,2/6/02,23-6-3,13-6-1,11/6/03,2/2/01,,0-4-1,32-7-9,8/7/00,6/4/01,6/5/01,10/4/01,8/2/03,10/3/00,6/6/02,3-0-1
8,Vancouver Canucks,49-26-7,4-May,3-Dec,26-11-4,23-15-3,8/1/01,41-25-6,,3/1/01,5-0-0,13-6-1,16-13-3,12/6/02,30-11-7,9/8/00,7/5/01,5/8/00,8/5/00,8/1/03,8/3/01,11/2/02,2/2/00
9,Ottawa Senators,48-25-9,6-Feb,3-Feb,25-13-3,23-12-6,44-20-8,4/5/01,13-4-3,19-10-3,12/6/02,2/2/01,2/3/00,,10/13/09,24-6-0,5/6/00,8/6/01,8/6/00,9/3/01,8/1/02,9/2/04,1/1/01
10,Pittsburgh Penguins,47-24-11,6-Oct,5-Jun,26-10-5,21-14-6,41-21-10,6/3/01,20-9-3,12/4/04,9/8/03,3/2/00,,3/1/01,25-8-11,14-10-0,6/3/00,5/5/04,5/7/02,8/2/02,9/3/01,12/3/02,2/1/00
11,Minnesota Wild,48-26-8,7-Oct,1-Jul,29-7-5,19-19-3,6/4/00,42-22-8,,2/3/00,4/1/00,13-7-0,18-8-6,11/7/02,25-11-8,18-5-0,9/2/00,4/8/01,7/7/01,7/4/02,8/2/02,10/3/02,3-0-0
12,Atlanta Thrashers,43-28-11,4-Jul,7-Jul,23-12-6,20-16-5,41-21-10,2/7/01,10/8/02,13-6-1,18-7-7,,1/4/00,1/3/01,21-9-11,11/13/00,8/2/03,8/5/01,7/4/02,6/5/02,3/7/02,9/4/01,2/1/00
