Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
13,Calgary Flames,43-29-10,5-Mar,5-Feb,30-9-2,13-20-8,4/3/03,39-26-7,,1/2/02,3/1/01,11/6/03,17-12-3,11/8/01,15-12-10,18-6-0,3/6/01,8/4/01,8/4/02,8/3/02,7/4/03,9/4/01,0-4-0
14,Colorado Avalanche,44-31-7,4-May,3-Mar,22-16-3,22-15-4,7/3/00,37-28-7,,4/1/00,3/2/00,10/9/01,18-11-3,9/8/03,22-13-7,14-8-0,5/4/02,7/7/00,6/7/00,7/3/02,5/8/01,11/1/02,3/1/00
15,New York Rangers,42-30-10,5-Sep,5-Mar,21-15-5,21-15-5,36-26-10,6/4/00,15-12-5,10/7/03,11/7/02,2/3/00,,4/1/00,20-14-10,15-6-0,5/6/00,8/3/03,6/8/01,6/5/00,5/5/02,10/2/03,2/1/01
16,Tampa Bay Lightning,44-33-5,2-Oct,3-May,22-18-1,22-15-4,39-29-4,5/4/01,16-4-0,4/14/02,19-11-2,,3/2/00,2/2/01,24-10-5,10/15/00,5/6/00,8/5/02,5/8/00,9/4/00,9/2/02,7/7/00,1/1/01
17,New York Islanders,40-30-12,5-Aug,7-Feb,22-13-6,18-17-6,36-27-9,4/3/03,17-11-4,9/10/01,10/6/04,2-0-3,,2/3/00,14-7-12,14-10-0,5/4/02,7/5/01,7/6/00,4/6/03,9/2/02,4/7/04,4-0-0
18,Toronto Maple Leafs,40-31-11,7-Apr,4-Apr,21-15-5,19-16-6,35-26-11,5/5/00,10/5/05,13-14-5,12/7/01,2/3/00,3/2/00,,18-5-11,14-20-0,6/4/03,7/6/01,4/7/02,8/4/00,5/4/03,8/4/02,2/2/00
19,Montreal Canadiens,42-34-6,5-Jun,1-Feb,26-12-3,16-22-3,35-31-6,7/3/00,8/10/02,16-12-4,11/9/00,3/2/00,4/1/00,,17-8-6,10/15/00,6/2/03,8/5/00,8/4/02,6/7/00,5/9/01,8/5/00,1/2/00
20,Carolina Hurricanes,40-34-8,0-5,3-Jun,21-16-4,19-18-4,36-29-7,4/5/01,9/8/03,8/10/02,19-11-2,,0-4-1,4/1/00,16-5-8,15-21-0,5/5/02,9/5/01,7/6/01,5/5/02,6/6/01,6/5/01,2/2/00
21,Florida Panthers,35-31-16,8-Feb,8-Mar,23-12-6,12/19/10,33-26-13,2/5/03,10/5/05,10/7/03,13-14-5,,0-2-3,2/3/00,13-7-16,16-11-0,5/7/02,3/7/03,7/5/02,4/4/03,6/3/03,9/4/01,1/1/02
22,St. Louis Blues,34-35-13,6-Jun,7-Apr,18-19-4,16-16-9,5/3/02,29-32-11,3-0-2,2/3/00,,12/16/04,8/9/03,9/7/04,17-9-13,6/18/00,3/4/03,4/10/00,5/5/04,8/4/01,7/4/01,5/6/04,2/2/00
23,Boston Bruins,35-41-6,4-Sep,2-Apr,18-19-4,17-22-2,30-38-4,5/3/02,7/10/03,14-17-1,9/11/00,2/1/02,3/2/00,,20-7-6,8/24/00,3/5/01,9/4/01,7/5/01,3/9/01,8/5/00,5/9/02,0-4-0
24,Columbus Blue Jackets,33-42-7,5-May,2-Apr,18-19-4,15-23-3,4/6/00,29-36-7,1/4/00,3/2/00,,11/17/04,8/10/02,10/9/01,18-11-7,9/21/00,3/5/01,3/10/01,9/5/02,6/6/01,3/7/02,8/6/00,1/3/00
25,Edmonton Oilers,32-43-7,3-Mar,4-Jan,19-19-3,13-24-4,4/3/03,28-40-4,,0-2-3,4/1/00,9/10/01,11/20/01,8/10/02,15-11-7,11/24/00,7/4/00,6/5/02,5/9/00,7/4/02,5/6/02,1/12/01,1/3/00
26,Chicago Blackhawks,31-42-9,7-Jun,2-Mar,17-20-4,14-22-5,3/5/02,28-37-7,0-3-2,3/2/00,,14-17-1,7/9/04,7/11/02,17-15-9,6/18/00,4/8/00,4/4/02,8/5/03,2/8/02,5/6/02,5/9/00,3/2/00
27,Washington Capitals,28-40-14,11-Jan,3-Apr,17-17-7,11/23/07,24-37-11,4/3/03,7/12/01,6/10/04,11/15/06,,2/1/02,2/2/01,9/10/14,13-24-0,4/3/04,6/6/02,6/7/01,5/7/00,3/6/04,2/10/03,2/1/00
28,Los Angeles Kings,27-41-14,6-Apr,8-Feb,16-16-9,11/25/05,4/3/03,23-38-11,3/1/01,,1/2/02,6/10/04,7/10/03,10/18/04,11/10/14,8/17/00,4/8/02,5/6/02,5/8/01,3/8/01,4/2/04,5/6/04,1/3/00
29,Phoenix Coyotes,31-46-5,2-May,3-Feb,18-20-3,13-26-2,6/4/00,25-42-5,3/2/00,,3/2/00,10/10/00,6/14/00,9/18/05,16-13-5,9/26/00,3/9/00,6/6/00,6/5/02,8/6/00,4/7/01,2/11/02,2/2/00
30,Philadelphia Flyers,22-48-12,6-Jan,6-Mar,10/24/07,12/24/05,16-44-12,6/4/00,5/20/07,4/13/03,7/11/02,4/1/00,,2/3/00,12/13/12,7/18/00,3/7/01,5/8/02,2/9/01,2/8/02,4/5/04,5/9/01,1/2/01
