Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
11,Minnesota Wild,46-28-8,3-Apr,5-Apr,22-13-6,24-15-2,17-12-3,29-16-5,10/3/03,7/9/00,17-8-4,12/8/01,21-12-8,14-8-0,6/3/00,7/6/01,4/5/03,5/6/02,11/2/01,11/3/00,2/3/01
12,Detroit Red Wings,43-25-14,10-Apr,4-Jul,22-10-9,21-15-5,24-20-10,19-5-4,10/12/08,14-8-2,12-0-2,7/5/02,20-7-14,13-9-0,6/2/02,8/3/03,6/4/04,9/3/00,6/3/02,5/8/02,3/2/01
13,Ottawa Senators,43-26-13,7-Jun,6-Jul,23-13-5,20-13-8,27-18-9,16-8-4,17-9-4,10/9/05,5/6/03,11/2/01,21-12-13,13-7-0,5/2/02,5/7/02,5/5/03,5/5/02,7/4/01,11/3/02,5-0-1
14,Winnipeg Jets,43-26-13,6-Jul,7-Apr,23-13-5,20-13-8,17-10-5,26-16-8,9/5/02,8/5/03,16-8-5,10/8/03,19-7-13,14-12-0,4/5/01,8/4/03,7/3/03,7/5/01,5/3/04,8/6/00,4-0-1
15,Pittsburgh Penguins,43-27-12,6-Apr,6-Jun,23-14-4,20-13-8,25-21-8,18-6-4,16-4-4,9/17/04,7/4/03,11/2/01,17-4-12,14-14-0,6/2/01,10/3/01,7/4/03,5/4/03,7/4/01,7/6/02,1/4/01
16,Calgary Flames,45-30-7,3-Apr,4-Sep,23-13-5,22-17-2,14-14-4,31-16-3,8/5/03,6/9/01,9/10/02,22-6-1,19-14-7,17-11-0,6/4/02,9/4/00,6/7/01,6/5/00,6/5/01,9/3/03,3/2/00
17,Boston Bruins,41-27-14,10-Apr,4-Sep,24-10-7,17-17-7,30-16-8,11/11/06,15-9-6,15-7-2,6/6/02,5/5/04,19-9-14,10/8/00,6/6/00,8/3/01,5/6/03,8/1/03,4/6/02,8/3/04,2/2/01
18,Los Angeles Kings,40-27-15,8-Feb,7-Jan,25-9-7,15-18-8,16-12-4,24-15-11,9/6/01,7/6/03,10/8/03,14-7-8,13-9-15,13-11-0,6/3/02,6/4/03,6/5/03,3/4/04,8/4/00,8/5/02,3/2/01
19,Dallas Stars,41-31-10,3-Apr,7-Apr,17-16-8,24-15-2,19-11-2,22-20-8,7/8/01,12/3/01,8/14/07,14-6-1,21-7-10,12/12/00,4/2/04,5/8/01,8/4/00,6/5/02,4/6/03,10/5/00,4/1/00
20,Florida Panthers,38-29-15,10-Aug,5-Jan,21-13-7,17-16-8,27-19-8,11/10/07,16-9-5,11/10/03,2/7/05,9/3/02,22-11-15,5/12/00,3/2/03,6/4/03,7/4/03,5/6/01,6/6/03,8/5/02,3/2/00
21,Colorado Avalanche,39-31-12,4-Oct,8-Feb,23-15-3,16-16-9,17-10-5,22-21-7,9/4/03,8/6/02,14-12-4,8/9/03,21-11-12,13-15-0,3/4/04,6/6/01,5/5/03,7/3/03,6/7/00,8/4/01,4/2/00
22,Columbus Blue Jackets,42-35-5,2-Sep,3-May,19-20-2,23-15-3,26-23-5,16-12-0,11/12/01,15-11-4,8/6/00,8/6/00,23-8-5,8/16/00,4/6/00,2/9/02,10/1/01,5/8/00,5/7/01,11/4/00,5-0-1
23,San Jose Sharks,40-33-9,6-Apr,3-Feb,19-17-5,21-16-4,13-15-4,27-18-5,6/9/01,7/6/03,12/7/01,15-11-4,13-9-9,13-15-0,6/4/02,5/6/02,9/3/01,7/4/01,3/8/02,7/5/01,3/3/00
24,Philadelphia Flyers,33-31-18,11-Mar,7-May,23-11-7,10/20/11,21-22-11,12/9/07,9/9/06,12/13/05,8/4/02,4/5/05,15-10-18,12/14/00,4/4/02,4/8/01,6/4/04,8/6/00,5/3/04,3/4/06,3/2/01
25,New Jersey Devils,32-36-14,7-May,7-Jan,19-14-8,13-22-6,23-21-10,9/15/04,13-8-3,10/13/07,3/8/03,6/7/01,11/9/14,8/11/00,5/3/02,4/8/02,4/8/03,6/3/02,7/5/01,5/6/03,1/3/01
26,Carolina Hurricanes,30-41-11,7-May,4-Jan,18-16-7,12/25/04,21-25-8,9/16/03,8/13/03,13-12-5,3/9/02,6/7/01,13-16-11,10/12/00,0-6-2,7/7/01,3/10/01,7/3/02,7/4/01,4/7/04,2/4/00
27,Toronto Maple Leafs,30-44-8,5-May,3-Mar,22-17-2,8/27/06,20-27-7,10/17/01,13-13-4,7/14/03,5/8/01,5/9/00,12/13/08,15-23-0,5/4/01,7/4/02,9/6/00,1/11/01,3/7/01,4/10/01,1/2/02
28,Edmonton Oilers,24-44-14,7-May,7-Feb,15-23-3,9/21/11,15-14-3,9/30/11,8/7/01,7/7/02,5/9/07,4/21/04,15-12-14,7/21/00,4/5/01,2/9/03,2/8/04,5/6/01,5/7/01,5/5/03,1/4/01
29,Arizona Coyotes,24-50-8,5-May,3-May,11/25/05,13-25-3,10/19/03,14-31-5,6/10/00,4/9/03,2/14/05,12/17/00,14-12-8,7/26/00,3/5/01,6/7/02,5/7/01,3/7/02,3/10/01,3/10/01,1/4/00
30,Buffalo Sabres,23-51-8,5-Aug,3-Jan,14-22-5,9/29/03,16-32-6,7/19/02,10/16/04,6/16/02,1/12/01,6/7/01,18-13-8,4/26/00,2/8/01,6/6/01,6/7/01,0-12-0,5/6/02,2/8/03,2/4/00
