Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,New York Rangers,53-22-7,5-Apr,2-Jun,25-11-5,28-11-2,35-17-2,18-5-5,12/11/01,23-6-1,7/3/04,11/2/01,24-7-7,19-10-0,5/4/00,6/4/04,9/3/00,8/4/00,10/2/02,10/4/01,5/1/00
2,Montreal Canadiens,50-22-10,5-Jul,5-Jun,26-9-6,24-13-4,37-11-6,13-11-4,18-9-3,19-2-3,8/5/01,5/6/03,20-6-10,16-11-0,8/2/01,8/5/01,8/4/00,8/2/01,9/3/02,6/6/03,3-0-2
3,Anaheim Ducks,51-24-7,5-Aug,2-Aug,26-12-3,25-12-4,17-13-2,34-11-5,9/7/00,8/6/02,16-5-0,18-6-5,33-1-7,13-16-0,9/3/00,5/3/05,10/3/01,8/3/00,7/5/01,10/5/00,2/2/00
4,St. Louis Blues,51-24-7,4-Sep,3-May,27-12-2,24-12-5,21-8-3,30-16-4,10/3/03,11/5/00,17-11-1,13-5-3,25-7-7,18-10-0,5/3/01,11/3/01,6/6/01,9/1/01,9/5/00,6/5/03,5/1/00
5,Tampa Bay Lightning,50-24-8,5-Mar,3-Apr,32-8-1,18-16-7,34-15-5,16-9-3,21-5-4,13-10-1,6/5/03,10/4/00,19-9-8,17-7-0,7/3/01,9/3/01,8/5/02,8/4/00,6/4/02,9/5/01,3-0-1
6,Nashville Predators,47-25-10,6-Jun,4-Aug,28-9-4,19-16-6,20-10-2,27-15-8,11/4/01,9/6/01,15-9-5,12/6/03,30-7-10,12/8/00,6/2/02,10/3/00,8/4/01,7/2/03,10/4/01,6/7/02,0-3-1
7,Chicago Blackhawks,48-28-6,3-Sep,3-Mar,24-12-5,24-16-1,20-9-3,28-19-3,11/4/01,9/5/02,15-14-0,13-5-3,22-13-6,19-12-0,6/3/01,9/5/00,10/2/01,6/7/00,6/4/03,9/3/01,2/4/00
8,Vancouver Canucks,48-29-5,2-Jun,3-Jun,24-15-2,24-14-3,21-10-1,27-19-4,8/7/01,13-3-0,10/10/01,17-9-3,22-4-5,20-15-0,7/3/00,9/4/01,5/4/02,6/6/00,8/6/00,10/4/02,3/2/00
9,New York Islanders,47-28-7,6-Jul,1-Jun,25-14-2,22-14-5,33-16-5,14-12-2,12/10/02,21-6-3,6/6/02,8/6/00,26-10-7,16-10-0,6/4/00,11/3/00,8/4/01,7/5/00,9/5/01,4/6/03,2/1/02
10,Washington Capitals,45-26-11,4-May,7-May,23-13-5,22-13-6,33-13-8,12/13/03,16-4-4,17-9-4,6/8/00,6/5/03,21-14-11,14-4-0,4/3/02,6/6/02,8/2/03,7/3/03,8/6/00,9/5/00,3/1/01
