Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Detroit Red Wings,58-16-8,3-Apr,5-Mar,27-9-5,31-7-3,6/3/01,52-13-7,4/1/00,,2/2/01,25-3-4,13-5-2,14-5-1,20-6-8,26-6-0,11/1/00,7/5/02,8/3/01,8/4/02,5/1/00,11/1/03,8/1/00
2,Ottawa Senators,52-21-9,6-Feb,3-Feb,29-9-3,23-12-6,47-19-6,5/2/03,14-5-1,20-8-4,13-6-1,,3-0-2,2/2/01,10/6/09,30-9-0,8/2/00,11/1/00,8/3/03,7/5/01,3/3/01,12/2/02,3/5/02
3,Dallas Stars,53-23-6,1-Dec,5-Mar,28-11-2,25-12-4,6/4/00,47-19-6,,3/2/00,3/2/00,15-3-2,15-5-0,17-11-4,27-10-6,12/10/00,6/4/01,10/3/00,8/5/00,11/3/01,3/2/01,11/3/01,4/3/02
4,Carolina Hurricanes,52-22-8,2-Aug,6-Apr,31-8-2,21-14-6,45-20-7,7/2/01,13-4-3,14-5-1,18-11-3,5-0-0,,2/2/01,28-5-8,14-12-0,8/2/01,8/5/00,8/3/03,13-1-0,2/3/00,9/5/02,4/3/02
5,Buffalo Sabres,52-24-6,5-May,1-Jun,27-11-3,25-13-3,46-21-5,6/3/01,14-4-2,21-9-2,11/8/01,,3/2/00,3/1/01,23-9-6,16-9-0,7/4/00,8/5/01,11/2/01,6/4/01,4-0-2,9/7/01,7/2/00
6,Nashville Predators,49-25-8,3-Jun,5-Mar,32-8-1,17-17-7,4/3/03,45-22-5,3/1/01,,1/2/02,23-8-1,13-6-1,9/8/03,25-6-8,13-9-0,8/1/01,7/3/02,9/5/00,7/5/03,3/4/00,8/5/02,7/2/00
7,Calgary Flames,46-25-11,7-Feb,4-Feb,30-7-4,16-18-7,7/2/01,39-23-10,2/2/01,5-0-0,,9/8/03,20-8-4,10/7/03,24-10-11,11/9/00,4/7/02,10/2/01,9/3/01,7/4/02,3/2/01,8/6/01,5/1/03
8,New Jersey Devils,46-27-9,4-Sep,5-Apr,27-11-3,19-16-6,40-25-7,6/2/02,16-12-4,13-7-0,11/6/03,3/1/01,3/1/01,,25-8-9,14-15-0,6/5/00,6/5/02,4/8/03,10/2/01,4/2/00,7/5/03,9-0-0
9,Philadelphia Flyers,45-26-11,6-Apr,5-Jul,22-13-6,23-13-5,40-23-9,5/3/02,19-9-4,9/9/02,12/5/03,3/1/01,2/2/01,,24-5-11,14-12-0,6/3/01,9/3/02,9/2/03,7/5/02,2/3/01,7/6/01,5/4/01
10,New York Rangers,44-26-12,4-Jul,8-Apr,25-10-6,19-16-6,39-22-11,5/4/01,18-9-5,11/8/01,10/5/05,2/2/01,3/2/00,,15-14-12,17-8-0,6/4/03,10/3/00,6/5/02,7/3/03,6-0-0,6/6/04,3/5/00
11,San Jose Sharks,44-27-11,7-Jan,4-Sep,25-9-7,19-18-4,9/1/00,35-26-11,,4/1/00,5-0-0,11/7/02,8/9/03,16-10-6,21-11-11,17-11-0,6/5/01,2/7/03,8/4/01,7/3/02,5/2/01,8/5/02,8/1/01
12,Mighty Ducks of Anaheim,43-27-12,7-Mar,5-Mar,26-10-5,17-17-7,5/2/03,38-25-9,,2/1/02,3/1/01,13-5-2,7/11/02,18-9-5,16-10-12,12/6/00,6/5/01,5/6/03,6/4/02,7/2/04,3/2/01,11/4/01,5/4/00
13,Colorado Avalanche,43-30-9,6-Mar,3-Mar,25-10-6,18-20-3,6/4/00,37-26-9,3/2/00,3/2/00,,11/7/02,16-12-4,10/7/03,19-11-9,16-9-0,6/4/01,8/5/02,6/8/00,9/2/02,4/2/01,7/5/02,3/4/01
14,Edmonton Oilers,41-28-13,9-Jul,4-Jun,20-15-6,21-13-7,3/3/04,38-25-9,2-0-3,1/3/01,,10/6/04,15-15-2,13-4-3,22-9-13,8/9/00,5/6/01,9/5/00,8/3/03,6/4/02,2/2/02,7/5/04,4/3/01
15,Montreal Canadiens,42-31-9,3-Feb,6-Jul,24-13-4,18-18-5,38-26-8,4/5/01,10/8/02,18-9-5,10/9/01,,0-4-1,4/1/00,23-9-9,9/9/00,8/3/01,6/4/03,4/6/02,5/8/00,4/1/02,10/5/01,5/4/00
16,Tampa Bay Lightning,43-33-6,4-Jun,2-Jun,25-14-2,18-19-4,36-30-6,7/3/00,16-4-0,4/15/01,16-11-5,4/1/00,,3/2/00,23-6-6,13-16-0,7/3/02,7/7/01,5/7/00,9/4/01,4/2/00,7/6/01,4/4/01
17,Vancouver Canucks,42-32-8,4-Apr,4-Apr,25-10-6,17-22-2,9/1/00,33-31-8,4/1/00,5-0-0,,10/9/01,15-12-5,8/10/02,21-12-8,12/10/00,8/2/02,8/6/00,5/4/03,9/6/00,4/3/00,6/7/02,2/4/01
18,Atlanta Thrashers,41-33-8,5-May,3-May,24-13-4,17-20-4,36-29-7,5/4/01,11/8/01,8/11/01,17-10-5,4-0-1,,1/4/00,17-8-8,17-15-0,3/8/00,7/4/03,6/5/03,7/7/00,3/2/00,9/5/00,6/2/02
19,Toronto Maple Leafs,41-33-8,7-Mar,1-Jul,26-12-3,15-21-5,39-25-8,2/8/00,15-4-1,11/16/05,13-5-2,,1/4/00,1/4/00,23-12-8,11/14/00,6/4/02,8/5/01,8/5/00,3/8/02,2/4/00,7/6/01,7/1/02
20,Los Angeles Kings,42-35-5,1-Jun,4-Apr,26-14-1,16-21-4,4/6/00,38-29-5,,2/3/00,2/3/00,12/7/01,12/8/00,14-14-4,23-12-5,10/20/00,8/4/00,8/5/01,9/5/01,5/7/02,2/2/01,6/8/00,4/4/00
21,Florida Panthers,37-34-11,5-Apr,6-Aug,25-11-5,12/23/06,33-29-10,4/5/01,7/9/04,8/9/03,18-11-3,4-0-1,,0-5-0,19-12-11,9/16/00,6/5/01,1/9/03,8/6/01,5/5/03,3/2/00,10/4/01,4/3/02
22,Minnesota Wild,38-36-8,3-May,5-Jan,23-16-2,15-20-6,4/5/01,34-31-7,2/2/01,2/3/00,,10/7/03,14-17-1,10/7/03,14-20-8,12/4/00,6/4/02,4/6/01,8/7/01,7/7/00,4/2/01,5/7/02,4/3/01
23,Phoenix Coyotes,38-39-5,3-Apr,2-Jun,19-18-4,19-21-1,6/4/00,32-35-5,,3/2/00,3/2/00,10/8/02,7/12/01,15-15-2,19-11-5,15-18-0,5/8/01,8/4/01,7/6/00,6/7/01,1/3/01,8/6/00,3/5/01
24,New York Islanders,36-40-6,3-Sep,3-Mar,20-18-3,16-22-3,30-37-5,6/3/01,15-15-2,6/12/02,9/10/01,3/1/01,3/2/00,,21-10-6,7/20/00,5/6/00,7/6/01,5/6/01,6/7/01,2/3/01,8/7/01,3/5/01
25,Columbus Blue Jackets,35-43-4,3-Aug,1-Jun,23-18-0,12/25/04,5/5/00,30-38-4,4/1/00,,1/4/00,14-15-3,8/11/01,8/12/00,24-12-4,8/19/00,4/8/00,3/10/00,5/8/01,8/4/01,3/3/00,7/7/01,5/3/01
26,Boston Bruins,29-37-16,8-Feb,8-Apr,16-15-10,13-22-6,26-32-14,3/5/02,5/9/06,10/19/03,11/4/05,,2/3/00,1/2/02,14-16-16,10/13/00,5/5/03,3/8/02,6/5/01,8/4/02,2/2/02,4/9/03,1/4/03
27,Washington Capitals,29-41-12,6-Jul,6-Feb,16-18-7,13-23-5,24-37-11,5/4/01,5/13/02,8/10/02,11/14/07,2/2/01,,3/2/00,16-14-12,9/18/00,4/7/00,4/7/02,5/6/01,5/8/02,2/4/00,4/6/05,5/3/02
28,Chicago Blackhawks,26-43-13,6-Feb,7-Jul,16-19-6,10/24/07,4/2/04,22-41-9,2/1/02,,2/1/02,11/17/04,7/11/02,4/13/03,14-14-13,5/16/00,3/8/00,7/6/00,3/6/04,4/8/02,1/3/02,5/7/03,3/5/02
29,Pittsburgh Penguins,22-46-14,6-Jan,8-Apr,12/21/08,10/25/06,21-37-14,1/9/00,12/14/06,3/12/05,6/11/03,0-5-0,1/4/00,,10/14/14,8/18/00,1/5/05,6/7/01,3/7/02,2/11/02,2/4/01,5/8/01,3/4/02
30,St. Louis Blues,21-46-15,8-Apr,7-Mar,12/23/06,9/23/09,1/7/02,20-39-13,1/3/01,,0-4-1,7/20/05,9/7/04,4/12/04,12/9/15,6/21/00,2/7/02,2/8/01,5/7/02,3/8/03,4/1/01,4/8/04,1/7/02
